sport,league,match,pick,odds,model_probability,bookmaker,reason,edge,implied_probability,confidence,risk,stake_units,stake_amount,created_at
baseball,baseball_mlb,Miami Marlins vs Cleveland Guardians,Miami Marlins,1.71,0.6252935696572053,Betfair,"Raw edge 14.8% | Score 95.0 | Consensus: elo, xg, form, market",0.1478692870276086,0.040498248019778416,0.5847953216374269,76,medium,0.25,24.38,2026-07-11T14:20:32
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.56,0.6947200343574315,Matchbook,"Raw edge 17.7% | Score 97.0 | Consensus: elo, xg, form, market",0.17701332353325872,0.05369439333179049,0.641025641025641,87,medium,0.37,30.0,2026-07-11T14:28:57
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.7,0.6354386301456145,1xBet,"Raw edge 18.0% | Score 96.0 | Consensus: elo, xg, form, market",0.17982518039905893,0.047203336027967446,0.5882352941176471,80,medium,0.29,28.66,2026-07-11T14:28:57
baseball,baseball_mlb,Baltimore Orioles vs Kansas City Royals,Baltimore Orioles,1.67,0.6449832078270293,GTbets,"Raw edge 17.7% | Score 97.0 | Consensus: elo, xg, form, market",0.17700723902638038,0.04618081261744844,0.5988023952095809,80,medium,0.29,28.78,2026-07-11T14:28:57
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.56,0.6942021503190658,1xBet,"Raw edge 17.6% | Score 97.0 | Consensus: elo, xg, form, market",0.17612639528316532,0.05317650929342488,0.641025641025641,87,medium,0.37,30.0,2026-07-11T15:29:55
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.69,0.6370538384835549,Everygame,"Raw edge 17.8% | Score 97.0 | Consensus: elo, xg, form, market",0.1780764717407095,0.04533786215219393,0.591715976331361,79,medium,0.28,27.76,2026-07-11T15:29:55
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.55,0.6993661317335418,Betfair,"Raw edge 18.0% | Score 98.0 | Consensus: elo, xg, form, market",0.17966352531327878,0.05420484141096116,0.6451612903225806,88,medium,0.38,30.0,2026-07-11T16:31:25
baseball,baseball_mlb,Tampa Bay Rays vs Seattle Mariners,Tampa Bay Rays,1.91,0.5637783878624938,Pinnacle,"Raw edge 18.0% | Score 96.0 | Consensus: elo, xg, form, market",0.17972659426918436,0.040218178438410024,0.5235602094240838,71,medium,0.25,21.1,2026-07-11T16:31:25
football,2. Bundesliga,SV Darmstadt 98 vs Holstein Kiel,Draw,3.65,0.3157816282009009,Winamax (DE),"Raw edge 15.5% | Score 15.519124712153133 | Consensus: elo, xg, form, market",0.15519124712153132,0.041809025461174876,0.273972602739726,67,medium,0.25,14.4,2026-07-11T16:46:26
football,2. Bundesliga,1. FC Nürnberg vs Dynamo Dresden,Draw,3.7,0.311055774804456,Winamax (DE),"Raw edge 15.2% | Score 15.17187726394602 | Consensus: elo, xg, form, market",0.1517187726394602,0.04078550453418578,0.27027027027027023,66,medium,0.25,13.97,2026-07-11T16:46:26
