id,bet_id,external_event_id,opening_odds,closing_odds,clv_pct,bookmaker,closing_source_hash,calculated_at
98,35619,,3.98,3.89,0.02314,Pinnacle,903532f41fbd570323b13669d3c0c60b,2026-08-23T16:11:20+00:00
99,35906,,4.17,4.45,-0.06292,Pinnacle,ff69d784c79f0474fe8d1cff3777e216,2026-08-23T16:11:20+00:00
100,33710,,4.5,4.5,0.0,LeoVegas (SE),6f9c2d0a7c3fe554d37862403818f7ef,2026-08-23T16:11:20+00:00
101,42561,ea0bacc4c23f813c6af97ec9b306a850,3.75,2.0,0.875,Matchbook,42c5d57e0e88e8e47db0313cef1182d9,2026-08-23T16:11:20+00:00
102,42569,cd69dc990e387d5c96551c389e92a4db,3.0,3.0,0.0,Betfair,e86f3b7f13fdb33c33dbcd2fe9a776cb,2026-08-23T16:11:20+00:00
103,42126,1d3d5a9221190e68ff43d9d81e4c7fd0,3.15,2.75,0.14545,Unibet (SE),35042dbcacad7029e3b526b374b88512,2026-08-23T16:11:20+00:00
104,42570,f74f411258dfcb663805768c6225fd0e,1.99,2.1,-0.05238,GTbets,ca2673b18f1ba6a27a842ef8ef074f5e,2026-08-23T16:11:20+00:00
105,35885,,3.91,4.72,-0.17161,1xBet,24bc13fef4bd57ca7b6db3791e9c35eb,2026-08-23T16:11:20+00:00
106,28956,,4.03,3.7,0.08919,1xBet,70f774a284963992a7c7e4f24df8aee5,2026-08-24T06:32:22+00:00
107,10121,,3.85,3.6,0.06944,Betfair,3f8d87ae4fbdffcd9c5fe86f27fb19e1,2026-08-24T06:32:22+00:00
108,40584,d8b5a9a24c52efb3ac04f4ed1bb7a0ea,3.7,3.65,0.0137,Betfair,75644fccf8f3bdee3b17cd4f98568c8a,2026-08-24T06:32:22+00:00
109,42896,aeeaca22cc9dd105d58a90c6821fd1fe,3.65,3.25,0.12308,Matchbook,f39cfd82521f90ad412563f62783619c,2026-08-24T16:22:04+00:00
110,42879,030285b126b6a2f7e022261006ed770e,3.6,3.5,0.02857,Betfair,8f3021df8ab33bbb84323a9a8a442c22,2026-08-24T16:22:05+00:00
111,37044,,4.3,4.1,0.04878,Betsson,1243381b6e6ca7ade94c3a3c76866d06,2026-08-24T16:22:05+00:00
112,21,,3.25,3.8,-0.14474,William Hill,c3a46192432050bfb264e130a59d4332,2026-08-24T16:22:05+00:00
113,43241,ee42d0a8b1e5c91e57ef0374f09aefcb,3.65,3.65,0.0,Matchbook,32293d511cd036a3c064e66dcd80308d,2026-08-24T16:22:05+00:00
114,418,,4.4,4.01,0.09726,1xBet,06cc88d42cb5e94c540dc3eace19239e,2026-08-24T16:22:05+00:00
115,34040,,4.0,4.2,-0.04762,Tipico,698f243fe274365f6712c253be066f2a,2026-08-27T16:57:48+00:00
116,48487,88f6e98e0a411a087ad525ca91bf5765,3.7,3.7,0.0,Matchbook,609f0c26ebf7858c7c95c30aa71b2508,2026-08-28T17:48:07+00:00
117,42881,715b3a87491c67e056d3108b217ef4ea,3.1,3.15,-0.01587,Unibet (SE),998cdd1146597c3778fd9b7aea451fc7,2026-08-28T17:48:07+00:00
118,38129,,3.75,3.4,0.10294,Coolbet,01b8acaf154782068c4c84dae36b5ce6,2026-08-28T17:48:07+00:00
119,48549,e19061ec348659e188cdfc2ed2b7cd3c,4.0,4.0,0.0,Betfair,9736be0cc29f08311f52b04bb5352e3d,2026-08-28T17:48:07+00:00
120,44226,d5c9d529f89d3fbb402bb75b9b2de369,3.85,3.6,0.06944,Betfair,69104bf91af605c4218ee5b2b005b00c,2026-08-28T17:48:07+00:00
121,40589,5a52aa36aba3d8c86d4a81011a869bbb,3.6,3.1,0.16129,Tipico,1d13940f7976f8f7055ad2c36f987a34,2026-08-29T11:52:28+00:00
122,41595,ffc38a4652ce068a0cc0cbab9e915781,3.95,3.75,0.05333,Unibet (SE),f44649d76281b8d4429f6e37f31ff28a,2026-08-29T11:52:28+00:00
123,38125,,3.05,2.9,0.05172,Unibet (SE),41e2af448432c9b8cc9bc2a1c90233da,2026-08-29T11:52:29+00:00
124,38126,,4.5,5.4,-0.16667,Codere (IT),b3c81db19639d3aa0f3c326e541abe0f,2026-08-29T11:52:29+00:00
125,44731,9b3bbaea002f4d831bdd6e72716b7582,3.85,3.75,0.02667,Unibet (SE),d72fe8e24f27dd27d52ffea16fe49dce,2026-08-29T11:52:29+00:00
126,48564,c11f914906dc7099ebe06b4f255c7b9a,3.65,3.65,0.0,Matchbook,1d64d089c4eecbe5304dac306a249515,2026-08-29T11:52:29+00:00
127,397,,3.2,3.15,0.01587,1xBet,b33ee8e488da981d755681bd50742031,2026-08-29T11:52:29+00:00
128,42114,c0dfbb316fff4b999664a1a60b6f79f3,4.0,5.0,-0.2,Betfair,d33e7f90915b6ddee105239d9cc4c04b,2026-08-29T11:52:29+00:00
129,44726,fe8bc4e8d1005768e7d50d8cafe097ed,3.98,3.66,0.08743,GTbets,c58ff7d533f8aac0c5b393b5e104b0b9,2026-08-29T11:52:29+00:00
130,47848,8d7235fa965e2cb32f6852f24341e448,3.9,3.9,0.0,Matchbook,199c7186021b8c2cc8767aecfe190086,2026-08-29T11:52:29+00:00
131,49140,90905cd897c01fba17cf3fb560925e4b,3.6,3.6,0.0,Betfair,5baf7d20b6197c1dd5ae2a56c68c920e,2026-08-29T11:52:29+00:00
132,49136,de6f4173916fd594db32c59f8faed8cf,3.8,3.8,0.0,BetOnline.ag,694a26ad92806a50732acb891287ba63,2026-08-29T11:52:29+00:00
133,41067,931ebda6d25d5a326182b4d9aaef50a3,2.68,2.31,0.16017,1xBet,e26250542b5daf34acada667dea76130,2026-08-29T11:52:29+00:00
134,44214,931ebda6d25d5a326182b4d9aaef50a3,3.55,3.45,0.02899,Betfair,11fc40beac8a870634e77f72808e7a80,2026-08-29T11:52:29+00:00
135,41068,9f599c08f90decb5098348bddfdd3c8a,3.6,4.2,-0.14286,Tipico,48e8c71bfaab2795996be9f68e4ec311,2026-08-29T11:52:29+00:00
136,43233,563dc6de98095c9c76b05da986c6ed69,4.0,4.3,-0.06977,Marathon Bet,bd16e54ebaf839d289c7dee4a25fcc1b,2026-08-29T11:52:29+00:00
137,44220,573de128509ee140563ba9b27c4f0e46,3.6,3.1,0.16129,Tipico,29f8517c2efbacb003923e83861462e5,2026-08-29T11:52:29+00:00
138,49151,ff88ba5c194aad092b22324afc083358,3.55,3.55,0.0,Betfair,9f2442be388d99e682e6ba0305546431,2026-08-29T11:52:29+00:00
139,42115,9f5680c81f3cad8fe4d77c333cc33b78,3.45,3.12,0.10577,Pinnacle,e9e32fdbbd363fd0c16423dced657622,2026-08-29T11:52:29+00:00
140,42116,71597a8f8c7e7e3373c49635665f072b,3.74,3.94,-0.05076,Pinnacle,3c9af50b28466dfbb84986b017585d5f,2026-08-29T11:52:29+00:00
141,43722,2309f5bd0f88f9c246f6675c94790069,3.95,3.45,0.14493,Nordic Bet,9853a5523c46afb43b3f17ed9f0d7b12,2026-08-29T11:52:29+00:00
142,48585,d918d6ed8b884f7de651c6bd3b949efd,3.5,3.3,0.06061,Matchbook,cd4a318faa9681852deeed9fb37ec843,2026-08-29T11:52:29+00:00
143,42885,b875b7d3959faf73542d0bf88adf6b84,3.65,4.0,-0.0875,1xBet,1466e3d3e95dc0dc0948b5965a48f2d6,2026-08-29T11:52:29+00:00
144,42128,7ea9ef41237050ed7f01c1a8658006d9,3.56,3.62,-0.01657,1xBet,15204d1e34c4cda45da79c0654047d35,2026-08-29T11:52:30+00:00
145,42562,ff4818bd73fa63c0a1e4c98e50c7a2e5,3.85,3.65,0.05479,Unibet (NL),1b062f9be2a51c50c0a9b3958136f099,2026-08-29T11:52:30+00:00
146,48507,156ee160b17a4416dfb6121d4805bcdb,3.85,3.75,0.02667,Betfair,75629f80dffd56545145393b75037b61,2026-08-29T11:52:30+00:00
147,49161,700dae86f4c64ccae2c492bb885acba8,3.25,3.25,0.0,Betfair,affefb1806ac1d8b7be43a9aff670abc,2026-08-29T11:52:30+00:00
148,43727,f441eae62038e16a9523e060f7ca506a,4.0,4.5,-0.11111,Betfair,3dd47fb5a9367a395d9315bf3dea5536,2026-08-29T11:52:30+00:00
149,42884,45f850a2ed2ff8cb8d6c58c282260227,3.7,3.25,0.13846,Betfair,2ab75341e9d0a01e336a4c7cbd6dedd4,2026-08-29T11:52:30+00:00
150,48542,431e68d72908191b0e49cf0d8fbfe65b,3.75,4.0,-0.0625,Matchbook,5b9393f3af6835aaeaa45fa74c779467,2026-08-29T11:52:30+00:00
151,43236,fa28ffdd2ea8c505e3d8090c11254f49,3.7,3.8,-0.02632,Tipico,b10b4b5a84be25d7bb852177c99f22df,2026-08-29T11:52:30+00:00
152,49167,844891ff082ffd6418e226df38933e3a,3.2,3.2,0.0,Betfair,22c92ce61997ca45ef7e5d1ae52dc53d,2026-08-29T11:52:30+00:00
153,48566,cca4c704a6170c5f155c0a6a7c890d8a,3.45,4.0,-0.1375,Matchbook,4653d6f2c412ea985bc695ae3d76e77b,2026-08-29T18:58:39+00:00
154,38130,,4.35,4.25,0.02353,Unibet (NL),e017a558e9c201433e1c9dcdcfea98f2,2026-08-29T18:58:40+00:00
155,49767,cd68e8c5ee148b644c936b4f67bef251,4.0,3.2,0.25,Tipico,3f7697abfc6ef776f0e284f1133b8859,2026-08-29T18:58:40+00:00
156,39418,207150d2d858378b2b801c9ab4961d14,3.85,3.9,-0.01282,LeoVegas (SE),b9deb67fc5625ccb890332498ddfac8e,2026-08-29T18:58:40+00:00
157,42129,cf6c4472b6f414ddeda2d0f76f62fed0,4.0,3.6,0.11111,Coolbet,7901b93545c921a582dcbe0f5bcb318d,2026-08-29T18:58:40+00:00
158,43244,33de67b507b5f5a00968648f26e652de,3.9,3.85,0.01299,Betfair,02cdebe92cc94b22048568bd1db7c7d6,2026-08-29T18:58:40+00:00
159,43245,0a4e4b417fc148126a68dbef070c7898,4.0,4.1,-0.02439,LeoVegas (SE),5fac75afe7ac85fa530a253a99317613,2026-08-29T18:58:40+00:00
160,49812,b64430d8e6d7d607edac676e1bb94e2e,3.5,3.5,0.0,Betfair,239d452d06e76eba195956fae9efb0a0,2026-08-29T18:58:40+00:00
161,36230,,4.2,3.9,0.07692,Tipico,4c1ad2f8c2f05641edc61f3b82484ebf,2026-08-30T10:49:24+00:00
162,40590,85f008e5fc6825f9bddd413b5d01116d,3.4,2.95,0.15254,Tipico,567389d55499adab22b012b7f32dc37c,2026-08-30T10:49:24+00:00
163,45857,53c8f2a3364ca1c41d2d62e6446e6095,4.0,4.2,-0.04762,Tipico,56a0e9b63eb53e2884257be27f6f1396,2026-08-30T10:49:24+00:00
164,42572,2c80733f82134df66391e1fcbae1adea,3.3,3.5,-0.05714,Tipico,f4db36b225f80bf71820c1d5e5dd2c0e,2026-08-30T10:49:24+00:00
165,37066,,4.16,4.17,-0.0024,1xBet,8ef17af56f023cb7982dc40c974da414,2026-08-30T10:49:25+00:00
166,44743,60db6de5ebb997cfdc9bdc9d4eb079e3,3.9,3.8,0.02632,Tipico,b6ab031284524013e2eebab0fac0a839,2026-08-30T10:49:25+00:00
167,37433,,4.16,4.17,-0.0024,1xBet,8ef17af56f023cb7982dc40c974da414,2026-08-30T10:49:25+00:00
168,44720,5d3afd8c18aec6fac47b3c1244bd9002,3.9,4.7,-0.17021,Matchbook,cfcea43fb86c653e4647105ec69659b8,2026-08-30T10:49:25+00:00
169,40586,24daadef6dc541865abfcf985a636924,3.28,3.27,0.00306,Coolbet,7e302a66f038651caef7bdbb22194966,2026-08-30T10:49:25+00:00
170,50335,d0f74a999a7eb4b401d127a8f32d4f84,3.7,3.7,0.0,Betfair,619746b938a1c6cfc34faad9d994fb52,2026-08-30T10:49:25+00:00
171,50336,f9714b9ec8199d49f4d155d75c7452b9,2.92,2.92,0.0,Betfair,8d63c3e7aedbe4a12c86d20ca4e1cdca,2026-08-30T10:49:25+00:00
172,42566,d942c72778e0ad73d5c3cc7d10a9ea91,3.75,3.85,-0.02597,Coolbet,797a05de9d0e4a1abbf60e4bf4372855,2026-08-30T10:49:25+00:00
173,40580,b128bbf82d12277022dc196ec6b337f3,3.8,6.7,-0.43284,Tipico,51e9f3b870e1c3ce769f47ad97d565e0,2026-08-30T10:49:25+00:00
174,49149,cfa4b8f3fa5746b9a32849ba0b42031e,3.4,3.25,0.04615,Betfair,3b06e2cc40a91e48a9b2fcb01fb16910,2026-08-30T10:49:25+00:00
175,43231,703209af93dfa14e0ad8de951ff76140,3.85,3.95,-0.02532,Betfair,0146af33fa9a00fcb10fb9e68970dccf,2026-08-30T10:49:25+00:00
176,47907,8f1aec488d5a6ce92622071ffbcf53ff,3.75,3.24,0.15741,1xBet,ee9d5e0cf1da974eb9b4a1ba9ea588a0,2026-08-30T10:49:26+00:00
177,40576,e479c08421b8549c6959c2b84f6f3f79,3.79,3.46,0.09538,1xBet,7e89644fefaa9484264a1d4def3762cb,2026-08-30T10:49:26+00:00
178,41066,6a4c946a61ddb5ef4703eb4528ccdef1,3.9,3.98,-0.0201,1xBet,0bbe854a28436f3c21b68dd76856207e,2026-08-30T10:49:26+00:00
179,42878,6a4c946a61ddb5ef4703eb4528ccdef1,3.85,4.3,-0.10465,Matchbook,51ccde947de7ef5b43fa7e11fe1bee23,2026-08-30T10:49:26+00:00
180,47002,d5883be0e3fc62650d407259b9fa7c9b,3.7,3.7,0.0,Tipico,5f59240d4f2a7e18eb7416afc9ba2464,2026-08-30T10:49:26+00:00
181,44227,5347fbc7509b1ce5278399ccff50b38c,3.7,3.9,-0.05128,Betfair,098936bc88ac2c18973fac6b7c013aa3,2026-08-30T10:49:26+00:00
182,50299,b920af3ced7e753c821036f7282edb55,4.0,4.0,0.0,Unibet (NL),f94587126b54160fb76c3df55c65b3e3,2026-08-30T10:49:26+00:00
183,43242,78fc9d5d9c1142fd4385cabec45c320a,3.65,4.38,-0.16667,Pinnacle,84716d03f3fa6c48f9b26ce39b2ef688,2026-08-30T10:49:26+00:00
